screen_name,id_str,created_at,coordinates,place,text,geo_location
BostonGlobe,1154116553283121152,2019-07-24 19:50:03,,,Governor Charlie Baker said Wednesday that state officials will seek a federal disaster declaration to support reco… https://t.co/IbVLxLIMS4,
drjustinimel,1154116460026793984,2019-07-24 19:49:41,,,"Rare tornado strikes Cape Cod, Massachusetts https://t.co/n07z2uL67n",
boston25,1154116303503970305,2019-07-24 19:49:03,,,Gov. Baker to seek disaster declaration for Cape Cod tornado https://t.co/UHTx4smjRV,
PaPaShArMFbI,1154115592812548096,2019-07-24 19:46:14,,,High winds rip roof off hotel as rare tornado strikes Massachusetts' Cape Cod https://t.co/1xdkFsNkhm via @CBSNews,
Fa11outS,1154112647006183424,2019-07-24 19:34:32,,,"Tornado hits Cape Cod leaving more than 33,000 residents without power | Fox News Here's the mainstream with that m… https://t.co/GGgWGYR6hk",
detous,1154111972817850368,2019-07-24 19:31:51,,,"EF1 tornado rips roof off hotel in Cape Cod, leaves trail of damage https://t.co/hbi4A4wr0U via @accuweather",
masslivenews,1154111549562376192,2019-07-24 19:30:10,,,Cape Cod businesses won't let a tornado stop their work. https://t.co/T1ELg5AjT6,
DMR09,1154110731375271937,2019-07-24 19:26:55,,,"Respect Mother Nature #CapeCod

https://t.co/JnzMAe2092",
5_by_26,1154110650672734209,2019-07-24 19:26:36,,,@Karoli @kittyFitz50 Chuck Todd is unwatchable &amp; an embarrassment to @MSNBC / #AndyLack . Every time his face shows… https://t.co/G6FGoJStLs,
rosspjoshua,1154110511442796544,2019-07-24 19:26:02,,,Thousands without power after rare Cape Cod tornado https://t.co/EFVSbK5g3g,
stacywoods,1154110056276910081,2019-07-24 19:24:14,,,John Woods Jennifer Bernhardt Durrua Adam Durrua Maggie MacBlane tornado yesterday on Cape Cod - may your seas be c… https://t.co/GgPANZQLOe,
sporkette,1154109971564392448,2019-07-24 19:23:54,,,Tornado hits Cape Cod as thunderstorms break the heat https://t.co/B9emE5NuV0 via @MailOnline,
cbsnewspath,1154109846104498177,2019-07-24 19:23:24,,,WATCH: A man working on a sailboat when a strong storm blew through Cape Cod managed to hang on and record the dram… https://t.co/VdO8e3jggD,
WBUR,1154108487078559744,2019-07-24 19:18:00,,,Cleanup continues after yesterday's tornado in Yarmouth. @MassGovernor visited earlier to survey the damage: https://t.co/BFUc7vNQCO,
Kellen_Browning,1154107957925351429,2019-07-24 19:15:54,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='1dacd62345aae1e0', url='https://api.twitter.com/1.1/geo/id/1dacd62345aae1e0.json', place_type='city', name='Dennis Port', full_name='Dennis Port, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-70.157218, 41.650512], [-70.117715, 41.650512], [-70.117715, 41.690253], [-70.157218, 41.690253]]]), attributes={})",Gov. Baker says state will seek federal disaster relief to help in recovery from Cape tornado  https://t.co/gdWUOriYyr via @BostonGlobe,
Al3xCole,1154107793420562433,2019-07-24 19:15:14,,,#CapeCod #Tornado. Words I didn't expect in the same sentence. https://t.co/cAYI359CJ9,
whitneyheavey,1154107199699877889,2019-07-24 19:12:53,"{'type': 'Point', 'coordinates': [-69.96027778, 41.68194444]}","Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='007612b47e6f836b', url='https://api.twitter.com/1.1/geo/id/007612b47e6f836b.json', place_type='city', name='Chatham', full_name='Chatham, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-70.038436, 41.66068], [-69.945158, 41.66068], [-69.945158, 41.71547], [-70.038436, 41.71547]]]), attributes={})","It’s been a little crazy here with clean up and power outage after our Cape Cod tornado yesterday! Thankfully, we a… https://t.co/kadGTwCeGW","{'type': 'Point', 'coordinates': [41.68194444, -69.96027778]}"
boston_informer,1154105661099323394,2019-07-24 19:06:46,,,Gov. Charlie Baker speaks about Cape Cod tornado https://t.co/d3j99xFqss https://t.co/muaL2dhsqJ,
emilypeoples13,1154104410513059840,2019-07-24 19:01:48,,,Cape Cod Tornado in Hyannisport https://t.co/ziQYlQ35LB,
ZacharysWeather,1154104344092041216,2019-07-24 19:01:32,,,"A rare EF1 tornado struck the popular New England vacation spot on Tuesday knocking out power to at least 45,000, a… https://t.co/GULOgVzD5u",
accuweather,1154104179671126018,2019-07-24 19:00:53,,,"A rare EF1 tornado struck the popular New England vacation spot on Tuesday knocking out power to at least 45,000, a… https://t.co/EK7Rwictya",
uhaul,1154104050058747904,2019-07-24 19:00:22,,,URGENT: Our relief efforts are expanding to #CapeCod in the wake of the recent #tornado in the area. Please share w… https://t.co/FXKnPDAuEh,
sarahwroblewski,1154104043263922176,2019-07-24 19:00:20,,,"More details are expected later today... but this was the second tornado on Cape Cod within the last year, (last on… https://t.co/KTPKWzl26X",
